"DOKLAD_ROK";"DOKLAD_DATUM";"DOKLAD_AGENDA";"DOKLAD_CISLO";"ORGANIZACE";"ORGANIZACE_NAZEV";"ORJ";"ORJ_NAZEV";"PARAGRAF";"PARAGRAF_NAZEV";"POLOZKA";"POLOZKA_NAZEV";"SUBJEKT_IC";"SUBJEKT_NAZEV";"CASTKA_MD";"CASTKA_DAL";"POZNAMKA"
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5164";"Nájemné";"";"";"0";"800";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000121";"Čištění - koše";"0";"";"3722";"Sběr a svoz komunálních odpadů";"5169";"Nákup ostatních služeb";"";"";"0";"420000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000350";"Kluziště";"6624";"";"3412";"Sportovní zařízení v majetku obcí";"6121";"Budovy, haly a stavby";"";"";"0";"200000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000223";"Ekologické nocležiště";"0";"";"3429";"Ostatní zájmová činnost a rekreace";"5171";"Opravy a udržování";"";"";"0";"25000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"50000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000134";"Novoměstské sociální služby";"0";"";"3612";"Bytové hospodářství";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"40000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5141";"Úroky vlastní";"";"";"0";"25000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5151";"Studená voda";"";"";"0";"1779500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5152";"Teplo";"";"";"0";"3700000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5153";"Plyn";"";"";"0";"60000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5154";"Elektrická energie";"";"";"0";"575000";""
