"DOKLAD_ROK";"ORGANIZACE";"ORGANIZACE_NAZEV";"ORJ";"ORJ_NAZEV";"CASTKA_SCHVALENY_ROZ";"CASTKA_UPRAVENY_ROZ";"CASTKA_CERPANI";"SOURADNICE_DELKA";"SOURADNICE_SIRKA"
"2016";"0000000000375";"Petrovice – rekonstrukce stávající jednotné kanalizace";"9506";" Petrovice – rekonstrukce stávající jednotné kanalizace I. etapa ";"1500000";"1600000";"24640";"16.0630207061768";"49.5467720031738"
"2016";"0000000000308";"Petrovická - chodník";"5301";"Petrovická - chodník";"70000";"70000";"0";"16.072696685791";"49.5554733276367"
"2016";"0000000000386";"Podpora zapojování seniorů do aktivního života";"0";"";"0";"231260";"206393.8";"16.0674667358398";"49.561897277832"
"2016";"0000000000353";"Pohledec - mateřská škola – zateplení fasáda";"9608";"Pohledec - mateřská škola - úspora energie";"50000";"50000";"16900";"16.1004314422607";"49.5794372558594"
"2016";"0000000000248";"Pohledec – vodovod a novostavba jednotné kanalizace pro 12 RD";"9617";"Pohledec – vodovod a novostavba jedn. kanalizace pro 12 RD";"0";"50000";"0";"16.0946063995361";"49.5773124694824"
"2016";"0000000000287";"Přechody pro chodce";"1006";"Přechody pro chodce";"300000";"420000";"0";"16.0664329528809";"49.5622100830078"
"2016";"0000000000287";"Přechody pro chodce";"7720";"";"0";"120000";"198";"16.0664329528809";"49.5622100830078"
"2016";"0000000000149";"Přemístění ZUŠ";"5102";"Přemístění ZUŠ";"1000000";"860000";"16000";"16.0734996795654";"49.5598983764648"
"2016";"0000000000370";"Rekonstrukce kanalizace pod Klečkovským rybníkem";"3204";"Rekonstrukce kanalizace pod Klečkovským rybníkem";"429000";"541000";"540724";"16.0689430236816";"49.5641479492188"
"2016";"0000000000236";"Rekonstrukce MK po kanalizaci pod Klečkovským rybníkem";"3205";"Rekonstrukce MK po kanalizaci pod Klečkovským rybníkem";"180000";"140000";"139116.34";"16.0702991485596";"49.5643997192383"
"2016";"0000000000369";"Rozšíření kapacity hřbitovů";"6621";"Tyršova – rozšíření kapacity hřbitovů – příprava";"0";"82500";"0";"16.0745010375977";"49.5665054321289"
"2016";"0000000000242";"Rozšíření splaškové kanalizace a vodovodu na parcele č. 3915/5";"1107";"Bělisko – rozšíření splaškové kanalizace a vodovodu";"0";"600000";"600000";"16.0699291229248";"49.5733261108398"
"2016";"0000000000261";"SDH Studnice – pořízení automobilu";"9907";"Studnice - pořízení automobilu pro SDH";"0";"150000";"0";"16.0907173156738";"49.6056365966797"
"2016";"0000000000313";"Slavkovice – přístřešek u hasičské zbrojnice";"9810";"Slavkovice – přístřešek u hasičské zbrojnice č.8";"150000";"150000";"0";"16.0298137664795";"49.5522079467773"
"2016";"0000000000146";"Sportoviště - hřiště";"0";"";"779500";"599135";"430172.5";"16.0655422210693";"49.564567565918"
"2016";"0000000000146";"Sportoviště - hřiště";"1003";"";"0";"219365";"219365";"16.0655422210693";"49.564567565918"
"2016";"0000000000146";"Sportoviště - hřiště";"9601";"";"0";"68400";"68304.5";"16.0655422210693";"49.564567565918"
"2016";"0000000000344";"Sportovní - lokalita (chodník u gymnázia, parkování u II. ZŠ)";"6202";"Sportovní - lokalita (chodník u gymnázia, parkování u II. ZŠ)";"95000";"215500";"138000";"16.0721817016602";"49.5643730163574"
"2016";"0000000000227";"Sportovní hala";"6603";"";"0";"350000";"0";"16.0738887786865";"49.5657386779785"
"2016";"0000000000127";"Stavebnictví";"7306";"Vratislavovo nám. - zpracování studie na úpravy náměstí";"450000";"450000";"0";"16.0739994049072";"49.5609016418457"
"2016";"0000000000260";"Studnice – rekonstrukce obecní budovy";"9906";"Studnice – rekonstrukce obecní budovy";"200000";"50000";"5972.2";"16.090238571167";"49.6053924560547"
"2016";"0000000000387";"Tyršova-parkovací místa a chodník";"6622";"Tyršova - parkovací místa a chodník";"95000";"54450";"54450";"16.0749397277832";"49.5654449462891"
"2016";"0000000000206";"Vančurova – chodník";"7001";"Vančurova – chodník";"100000";"100000";"12100";"16.0798530578613";"49.570125579834"
"2016";"0000000000136";"Veřejné osvětlení";"9712";"Rokytno - energ. optimaliace provozu osvětlení";"0";"275000";"187345";"16.0709037780762";"49.5990829467773"
"2016";"0000000000343";"Vlachovická - novostavba vodovodu";"7205";"Vlachovická - novostavba vodovodu";"1290000";"0";"0";"16.0545883178711";"49.5708961486816"
"2016";"0000000000321";"Vratislavovo nám. - příprava rekonstrukce";"7334";"Vratislavovo nám. - příprava rekonstrukce";"300000";"300000";"0";"16.0743865966797";"49.5622520446777"
"2016";"0000000000393";"Vybudování výtahu a dostavba zázemí na dvorku HM";"7329";"Vratislavovo nám. 113 – vybudování výtahu a dostavba zázemí na dvorku HM";"400000";"400000";"113000";"16.0728378295898";"49.5608291625977"
"2016";"0000000000208";"Výpočetní technika";"0";"";"2785000";"3703000";"3351346.22";"16.0726928710938";"49.5605735778809"
"2016";"0000000000255";"Zateplení bytového domu č.p.540";"1911";"Drobného – zateplení bytového domu č.p.540";"0";"9500";"9500";"16.0774059295654";"49.5674819946289"
"2016";"0000000000254";"ZŠ Malá – vybudování výtahu";"3604";"Malá – vybudování výtahu";"60000";"60000";"0";"16.0773868560791";"49.5660552978516"
"2016";"0000000000385";"Žďárská rekonstrukce vodovodu";"7710";"";"0";"177000";"160907";"16.0619468688965";"49.5629119873047"
